toolset,tool,scenario_id,desc_id,user_level,description
admixture,admixture,admixture_01,admixture_01_or,original,estimate ancestry proportions from genotypes.bed with K=5 ancestral populations using default 5-fold cross-validation for model selection
admixture,admixture,admixture_01,admixture_01_be,beginner,How do I estimate ancestry proportions from genotypes.bed with K=5 ancestral populations using default 5-fold cross-validation for model selection?
admixture,admixture,admixture_01,admixture_01_st,student,I need to estimate ancestry proportions from genotypes.bed with K=5 ancestral populations using default 5-fold cross-validation for model selection
admixture,admixture,admixture_01,admixture_01_po,polite,Please estimate ancestry proportions from genotypes.bed with K=5 ancestral populations using default 5-fold cross-validation for model selection
admixture,admixture,admixture_01,admixture_01_sy,sysadmin,Use admixture to estimate ancestry proportions from genotypes.bed with K=5 ancestral populations using default 5-fold cross-validation for model selection
admixture,admixture,admixture_02,admixture_02_or,original,estimate ancestry proportions from genotypes.bed with K=4 using a fixed random seed for reproducible convergence testing and 10-fold cross-validation
admixture,admixture,admixture_02,admixture_02_be,beginner,How do I estimate ancestry proportions from genotypes.bed with K=4 using a fixed random seed for reproducible convergence testing and 10-fold cross-validation?
admixture,admixture,admixture_02,admixture_02_st,student,I need to estimate ancestry proportions from genotypes.bed with K=4 using a fixed random seed for reproducible convergence testing and 10-fold cross-validation
admixture,admixture,admixture_02,admixture_02_po,polite,Please estimate ancestry proportions from genotypes.bed with K=4 using a fixed random seed for reproducible convergence testing and 10-fold cross-validation
admixture,admixture,admixture_02,admixture_02_sy,sysadmin,Use admixture to estimate ancestry proportions from genotypes.bed with K=4 using a fixed random seed for reproducible convergence testing and 10-fold cross-validation
admixture,admixture,admixture_03,admixture_03_or,original,estimate ancestry proportions from genotypes.bed with K=3 in supervised mode using known reference population labels to classify unlabeled individuals
admixture,admixture,admixture_03,admixture_03_be,beginner,How do I estimate ancestry proportions from genotypes.bed with K=3 in supervised mode using known reference population labels to classify unlabeled individuals?
admixture,admixture,admixture_03,admixture_03_st,student,I need to estimate ancestry proportions from genotypes.bed with K=3 in supervised mode using known reference population labels to classify unlabeled individuals
admixture,admixture,admixture_03,admixture_03_po,polite,Please estimate ancestry proportions from genotypes.bed with K=3 in supervised mode using known reference population labels to classify unlabeled individuals
admixture,admixture,admixture_03,admixture_03_sy,sysadmin,Use admixture to estimate ancestry proportions from genotypes.bed with K=3 in supervised mode using known reference population labels to classify unlabeled individuals
admixture,admixture,admixture_04,admixture_04_or,original,estimate standard errors of ancestry proportions and allele frequencies from genotypes.bed with K=5 and 100 bootstrap replicates
admixture,admixture,admixture_04,admixture_04_be,beginner,How do I estimate standard errors of ancestry proportions and allele frequencies from genotypes.bed with K=5 and 100 bootstrap replicates?
admixture,admixture,admixture_04,admixture_04_st,student,I need to estimate standard errors of ancestry proportions and allele frequencies from genotypes.bed with K=5 and 100 bootstrap replicates
admixture,admixture,admixture_04,admixture_04_po,polite,Please estimate standard errors of ancestry proportions and allele frequencies from genotypes.bed with K=5 and 100 bootstrap replicates
admixture,admixture,admixture_04,admixture_04_sy,sysadmin,Use admixture to estimate standard errors of ancestry proportions and allele frequencies from genotypes.bed with K=5 and 100 bootstrap replicates
admixture,admixture,admixture_05,admixture_05_or,original,estimate ancestry proportions from genotypes.bed with K=5 using the EM algorithm instead of default block relaxation when the latter fails to converge
admixture,admixture,admixture_05,admixture_05_be,beginner,How do I estimate ancestry proportions from genotypes.bed with K=5 using the EM algorithm instead of default block relaxation when the latter fails to converge?
admixture,admixture,admixture_05,admixture_05_st,student,I need to estimate ancestry proportions from genotypes.bed with K=5 using the EM algorithm instead of default block relaxation when the latter fails to converge
admixture,admixture,admixture_05,admixture_05_po,polite,Please estimate ancestry proportions from genotypes.bed with K=5 using the EM algorithm instead of default block relaxation when the latter fails to converge
admixture,admixture,admixture_05,admixture_05_sy,sysadmin,Use admixture to estimate ancestry proportions from genotypes.bed with K=5 using the EM algorithm instead of default block relaxation when the latter fails to converge
admixture,admixture,admixture_06,admixture_06_or,original,estimate ancestry proportions from genotypes.bed with K=5 accelerating convergence with quasi-Newton acceleration using lookahead 5 and cross-validation
admixture,admixture,admixture_06,admixture_06_be,beginner,How do I estimate ancestry proportions from genotypes.bed with K=5 accelerating convergence with quasi-Newton acceleration using lookahead 5 and cross-validation?
admixture,admixture,admixture_06,admixture_06_st,student,I need to estimate ancestry proportions from genotypes.bed with K=5 accelerating convergence with quasi-Newton acceleration using lookahead 5 and cross-validation
admixture,admixture,admixture_06,admixture_06_po,polite,Please estimate ancestry proportions from genotypes.bed with K=5 accelerating convergence with quasi-Newton acceleration using lookahead 5 and cross-validation
admixture,admixture,admixture_06,admixture_06_sy,sysadmin,Use admixture to estimate ancestry proportions from genotypes.bed with K=5 accelerating convergence with quasi-Newton acceleration using lookahead 5 and cross-validation
admixture,admixture,admixture_07,admixture_07_or,original,project new individuals from genotypes.bed onto fixed allele frequency estimates from a previous run without re-estimating the allele frequency matrix at K=5
admixture,admixture,admixture_07,admixture_07_be,beginner,How do I project new individuals from genotypes.bed onto fixed allele frequency estimates from a previous run without re-estimating the allele frequency matrix at K=5?
admixture,admixture,admixture_07,admixture_07_st,student,I need to project new individuals from genotypes.bed onto fixed allele frequency estimates from a previous run without re-estimating the allele frequency matrix at K=5
admixture,admixture,admixture_07,admixture_07_po,polite,Please project new individuals from genotypes.bed onto fixed allele frequency estimates from a previous run without re-estimating the allele frequency matrix at K=5
admixture,admixture,admixture_07,admixture_07_sy,sysadmin,Use admixture to project new individuals from genotypes.bed onto fixed allele frequency estimates from a previous run without re-estimating the allele frequency matrix at K=5
admixture,admixture,admixture_08,admixture_08_or,original,estimate ancestry proportions from genotypes.bed with K=5 using a tighter major convergence criterion of 1e-5 for high-precision results
admixture,admixture,admixture_08,admixture_08_be,beginner,How do I estimate ancestry proportions from genotypes.bed with K=5 using a tighter major convergence criterion of 1e-5 for high-precision results?
admixture,admixture,admixture_08,admixture_08_st,student,I need to estimate ancestry proportions from genotypes.bed with K=5 using a tighter major convergence criterion of 1e-5 for high-precision results
admixture,admixture,admixture_08,admixture_08_po,polite,Please estimate ancestry proportions from genotypes.bed with K=5 using a tighter major convergence criterion of 1e-5 for high-precision results
admixture,admixture,admixture_08,admixture_08_sy,sysadmin,Use admixture to estimate ancestry proportions from genotypes.bed with K=5 using a tighter major convergence criterion of 1e-5 for high-precision results
admixture,admixture,admixture_09,admixture_09_or,original,estimate ancestry proportions from genotypes.bed with K=5 and 10-fold cross-validation using 8 threads on data pre-filtered for minor allele frequency
admixture,admixture,admixture_09,admixture_09_be,beginner,How do I estimate ancestry proportions from genotypes.bed with K=5 and 10-fold cross-validation using 8 threads on data pre-filtered for minor allele frequency?
admixture,admixture,admixture_09,admixture_09_st,student,I need to estimate ancestry proportions from genotypes.bed with K=5 and 10-fold cross-validation using 8 threads on data pre-filtered for minor allele frequency
admixture,admixture,admixture_09,admixture_09_po,polite,Please estimate ancestry proportions from genotypes.bed with K=5 and 10-fold cross-validation using 8 threads on data pre-filtered for minor allele frequency
admixture,admixture,admixture_09,admixture_09_sy,sysadmin,Use admixture to estimate ancestry proportions from genotypes.bed with K=5 and 10-fold cross-validation using 8 threads on data pre-filtered for minor allele frequency
admixture,admixture,admixture_10,admixture_10_or,original,estimate ancestry proportions from genotypes.bed with K=6 and 10-fold cross-validation using 8 threads for comparing cross-validation error across K values
admixture,admixture,admixture_10,admixture_10_be,beginner,How do I estimate ancestry proportions from genotypes.bed with K=6 and 10-fold cross-validation using 8 threads for comparing cross-validation error across K values?
admixture,admixture,admixture_10,admixture_10_st,student,I need to estimate ancestry proportions from genotypes.bed with K=6 and 10-fold cross-validation using 8 threads for comparing cross-validation error across K values
admixture,admixture,admixture_10,admixture_10_po,polite,Please estimate ancestry proportions from genotypes.bed with K=6 and 10-fold cross-validation using 8 threads for comparing cross-validation error across K values
admixture,admixture,admixture_10,admixture_10_sy,sysadmin,Use admixture to estimate ancestry proportions from genotypes.bed with K=6 and 10-fold cross-validation using 8 threads for comparing cross-validation error across K values
agat,agat_convert_sp_gff2gtf,agat_01,agat_01_or,original,convert in_genes.gff3 from GFF3 to GTF format and write the output to in_genes.gtf for use with splice-aware aligners
agat,agat_convert_sp_gff2gtf,agat_01,agat_01_be,beginner,How do I convert in_genes.gff3 from GFF3 to GTF format and write the output to in_genes.gtf for use with splice-aware aligners?
agat,agat_convert_sp_gff2gtf,agat_01,agat_01_st,student,I need to convert in_genes.gff3 from GFF3 to GTF format and write the output to in_genes.gtf for use with splice-aware aligners
agat,agat_convert_sp_gff2gtf,agat_01,agat_01_po,polite,Please convert in_genes.gff3 from GFF3 to GTF format and write the output to in_genes.gtf for use with splice-aware aligners
agat,agat_convert_sp_gff2gtf,agat_01,agat_01_sy,sysadmin,Use agat_convert_sp_gff2gtf to convert in_genes.gff3 from GFF3 to GTF format and write the output to in_genes.gtf for use with splice-aware aligners
agat,agat_sp_statistics,agat_02,agat_02_or,original,generate comprehensive annotation statistics from in_genes.gff3 including gene count mRNA count exon count and intron size distribution and write to stats_report.txt
agat,agat_sp_statistics,agat_02,agat_02_be,beginner,How do I generate comprehensive annotation statistics from in_genes.gff3 including gene count mRNA count exon count and intron size distribution and write to stats_report.txt?
agat,agat_sp_statistics,agat_02,agat_02_st,student,I need to generate comprehensive annotation statistics from in_genes.gff3 including gene count mRNA count exon count and intron size distribution and write to stats_report.txt
agat,agat_sp_statistics,agat_02,agat_02_po,polite,Please generate comprehensive annotation statistics from in_genes.gff3 including gene count mRNA count exon count and intron size distribution and write to stats_report.txt
agat,agat_sp_statistics,agat_02,agat_02_sy,sysadmin,Use agat_sp_statistics to generate comprehensive annotation statistics from in_genes.gff3 including gene count mRNA count exon count and intron size distribution and write to stats_report.txt
agat,agat_sp_filter_gene_by_length,agat_03,agat_03_or,original,filter in_genes.gff3 to keep only genes whose concatenated exon length is at least 300 base pairs and write to genes_min300bp.gff3
agat,agat_sp_filter_gene_by_length,agat_03,agat_03_be,beginner,How do I filter in_genes.gff3 to keep only genes whose concatenated exon length is at least 300 base pairs and write to genes_min300bp.gff3?
agat,agat_sp_filter_gene_by_length,agat_03,agat_03_st,student,I need to filter in_genes.gff3 to keep only genes whose concatenated exon length is at least 300 base pairs and write to genes_min300bp.gff3
agat,agat_sp_filter_gene_by_length,agat_03,agat_03_po,polite,Please filter in_genes.gff3 to keep only genes whose concatenated exon length is at least 300 base pairs and write to genes_min300bp.gff3
agat,agat_sp_filter_gene_by_length,agat_03,agat_03_sy,sysadmin,Use agat_sp_filter_gene_by_length to filter in_genes.gff3 to keep only genes whose concatenated exon length is at least 300 base pairs and write to genes_min300bp.gff3
agat,agat_convert_sp_gxf2gxf,agat_04,agat_04_or,original,repair the malformed draft.gff3 by removing duplicates fixing IDs adding missing Parent attributes and sorting features and write to in_fixed.gff3
agat,agat_convert_sp_gxf2gxf,agat_04,agat_04_be,beginner,How do I repair the malformed draft.gff3 by removing duplicates fixing IDs adding missing Parent attributes and sorting features and write to in_fixed.gff3?
agat,agat_convert_sp_gxf2gxf,agat_04,agat_04_st,student,I need to repair the malformed draft.gff3 by removing duplicates fixing IDs adding missing Parent attributes and sorting features and write to in_fixed.gff3
agat,agat_convert_sp_gxf2gxf,agat_04,agat_04_po,polite,Please repair the malformed draft.gff3 by removing duplicates fixing IDs adding missing Parent attributes and sorting features and write to in_fixed.gff3
agat,agat_convert_sp_gxf2gxf,agat_04,agat_04_sy,sysadmin,Use agat_convert_sp_gxf2gxf to repair the malformed draft.gff3 by removing duplicates fixing IDs adding missing Parent attributes and sorting features and write to in_fixed.gff3
agat,agat_sp_extract_sequences,agat_05,agat_05_or,original,extract coding sequences from in_genes.gff3 using the reference genome in_ref.fa and write CDS sequences to cds.fa
agat,agat_sp_extract_sequences,agat_05,agat_05_be,beginner,How do I extract coding sequences from in_genes.gff3 using the reference genome in_ref.fa and write CDS sequences to cds.fa?
agat,agat_sp_extract_sequences,agat_05,agat_05_st,student,I need to extract coding sequences from in_genes.gff3 using the reference genome in_ref.fa and write CDS sequences to cds.fa
agat,agat_sp_extract_sequences,agat_05,agat_05_po,polite,Please extract coding sequences from in_genes.gff3 using the reference genome in_ref.fa and write CDS sequences to cds.fa
agat,agat_sp_extract_sequences,agat_05,agat_05_sy,sysadmin,Use agat_sp_extract_sequences to extract coding sequences from in_genes.gff3 using the reference genome in_ref.fa and write CDS sequences to cds.fa
agat,agat_sp_keep_longest_isoform,agat_06,agat_06_or,original,reduce in_genes.gff3 to the single longest isoform per gene locus and write to primary_isoforms.gff3
agat,agat_sp_keep_longest_isoform,agat_06,agat_06_be,beginner,How do I reduce in_genes.gff3 to the single longest isoform per gene locus and write to primary_isoforms.gff3?
agat,agat_sp_keep_longest_isoform,agat_06,agat_06_st,student,I need to reduce in_genes.gff3 to the single longest isoform per gene locus and write to primary_isoforms.gff3
agat,agat_sp_keep_longest_isoform,agat_06,agat_06_po,polite,Please reduce in_genes.gff3 to the single longest isoform per gene locus and write to primary_isoforms.gff3
agat,agat_sp_keep_longest_isoform,agat_06,agat_06_sy,sysadmin,Use agat_sp_keep_longest_isoform to reduce in_genes.gff3 to the single longest isoform per gene locus and write to primary_isoforms.gff3
agat,agat_sp_merge_annotations,agat_07,agat_07_or,original,merge two GFF3 annotation sets set1.gff3 and set2.gff3 into one non-redundant file in_merged.gff3 resolving duplicated features and IDs
agat,agat_sp_merge_annotations,agat_07,agat_07_be,beginner,How do I merge two GFF3 annotation sets set1.gff3 and set2.gff3 into one non-redundant file in_merged.gff3 resolving duplicated features and IDs?
agat,agat_sp_merge_annotations,agat_07,agat_07_st,student,I need to merge two GFF3 annotation sets set1.gff3 and set2.gff3 into one non-redundant file in_merged.gff3 resolving duplicated features and IDs
agat,agat_sp_merge_annotations,agat_07,agat_07_po,polite,Please merge two GFF3 annotation sets set1.gff3 and set2.gff3 into one non-redundant file in_merged.gff3 resolving duplicated features and IDs
agat,agat_sp_merge_annotations,agat_07,agat_07_sy,sysadmin,Use agat_sp_merge_annotations to merge two GFF3 annotation sets set1.gff3 and set2.gff3 into one non-redundant file in_merged.gff3 resolving duplicated features and IDs
agat,agat_sp_manage_IDs,agat_08,agat_08_or,original,standardize feature identifiers in in_genes.gff3 by assigning the prefix LOC to all gene and transcript IDs and write to renamed.gff3
agat,agat_sp_manage_IDs,agat_08,agat_08_be,beginner,How do I standardize feature identifiers in in_genes.gff3 by assigning the prefix LOC to all gene and transcript IDs and write to renamed.gff3?
agat,agat_sp_manage_IDs,agat_08,agat_08_st,student,I need to standardize feature identifiers in in_genes.gff3 by assigning the prefix LOC to all gene and transcript IDs and write to renamed.gff3
agat,agat_sp_manage_IDs,agat_08,agat_08_po,polite,Please standardize feature identifiers in in_genes.gff3 by assigning the prefix LOC to all gene and transcript IDs and write to renamed.gff3
agat,agat_sp_manage_IDs,agat_08,agat_08_sy,sysadmin,Use agat_sp_manage_IDs to standardize feature identifiers in in_genes.gff3 by assigning the prefix LOC to all gene and transcript IDs and write to renamed.gff3
agat,agat_convert_sp_gff2bed,agat_09,agat_09_or,original,convert in_genes.gff3 from GFF3 1-based closed coordinates to BED 0-based half-open format and write to in_genes.bed
agat,agat_convert_sp_gff2bed,agat_09,agat_09_be,beginner,How do I convert in_genes.gff3 from GFF3 1-based closed coordinates to BED 0-based half-open format and write to in_genes.bed?
agat,agat_convert_sp_gff2bed,agat_09,agat_09_st,student,I need to convert in_genes.gff3 from GFF3 1-based closed coordinates to BED 0-based half-open format and write to in_genes.bed
agat,agat_convert_sp_gff2bed,agat_09,agat_09_po,polite,Please convert in_genes.gff3 from GFF3 1-based closed coordinates to BED 0-based half-open format and write to in_genes.bed
agat,agat_convert_sp_gff2bed,agat_09,agat_09_sy,sysadmin,Use agat_convert_sp_gff2bed to convert in_genes.gff3 from GFF3 1-based closed coordinates to BED 0-based half-open format and write to in_genes.bed
agat,agat,agat_10,agat_10_or,original,generate an editable AGAT configuration YAML file in the current working directory using config --expose to customize output format and parser behavior
agat,agat,agat_10,agat_10_be,beginner,How do I generate an editable AGAT configuration YAML file in the current working directory using config --expose to customize output format and parser behavior?
agat,agat,agat_10,agat_10_st,student,I need to generate an editable AGAT configuration YAML file in the current working directory using config --expose to customize output format and parser behavior
agat,agat,agat_10,agat_10_po,polite,Please generate an editable AGAT configuration YAML file in the current working directory using config --expose to customize output format and parser behavior
agat,agat,agat_10,agat_10_sy,sysadmin,Use agat to generate an editable AGAT configuration YAML file in the current working directory using config --expose to customize output format and parser behavior
angsd,angsd,angsd_01,angsd_01_or,original,compute genotype likelihoods in BEAGLE format and allele frequencies from BAM files listed in specimens.txt writing output with the genotypes prefix for downstream PCA and admixture analysis
angsd,angsd,angsd_01,angsd_01_be,beginner,How do I compute genotype likelihoods in BEAGLE format and allele frequencies from BAM files listed in specimens.txt writing output with the genotypes prefix for downstream PCA and admixture analysis?
angsd,angsd,angsd_01,angsd_01_st,student,I need to compute genotype likelihoods in BEAGLE format and allele frequencies from BAM files listed in specimens.txt writing output with the genotypes prefix for downstream PCA and admixture analysis
angsd,angsd,angsd_01,angsd_01_po,polite,Please compute genotype likelihoods in BEAGLE format and allele frequencies from BAM files listed in specimens.txt writing output with the genotypes prefix for downstream PCA and admixture analysis
angsd,angsd,angsd_01,angsd_01_sy,sysadmin,Use angsd to compute genotype likelihoods in BEAGLE format and allele frequencies from BAM files listed in specimens.txt writing output with the genotypes prefix for downstream PCA and admixture analysis
angsd,angsd,angsd_02,angsd_02_or,original,compute per-site allele frequency likelihoods for a single population from BAM files listed in in_pop1.txt using the ancestral reference ancestor.fa for unfolded site frequency spectrum writing output with the pop1 prefix
angsd,angsd,angsd_02,angsd_02_be,beginner,How do I compute per-site allele frequency likelihoods for a single population from BAM files listed in in_pop1.txt using the ancestral reference ancestor.fa for unfolded site frequency spectrum writing output with the pop1 prefix?
angsd,angsd,angsd_02,angsd_02_st,student,I need to compute per-site allele frequency likelihoods for a single population from BAM files listed in in_pop1.txt using the ancestral reference ancestor.fa for unfolded site frequency spectrum writing output with the pop1 prefix
angsd,angsd,angsd_02,angsd_02_po,polite,Please compute per-site allele frequency likelihoods for a single population from BAM files listed in in_pop1.txt using the ancestral reference ancestor.fa for unfolded site frequency spectrum writing output with the pop1 prefix
angsd,angsd,angsd_02,angsd_02_sy,sysadmin,Use angsd to compute per-site allele frequency likelihoods for a single population from BAM files listed in in_pop1.txt using the ancestral reference ancestor.fa for unfolded site frequency spectrum writing output with the pop1 prefix
angsd,realSFS,angsd_03,angsd_03_or,original,estimate the 1D site frequency spectrum from the SAF likelihood file pop1.sfs_index.idx using the EM algorithm with 16 threads
angsd,realSFS,angsd_03,angsd_03_be,beginner,How do I estimate the 1D site frequency spectrum from the SAF likelihood file pop1.sfs_index.idx using the EM algorithm with 16 threads?
angsd,realSFS,angsd_03,angsd_03_st,student,I need to estimate the 1D site frequency spectrum from the SAF likelihood file pop1.sfs_index.idx using the EM algorithm with 16 threads
angsd,realSFS,angsd_03,angsd_03_po,polite,Please estimate the 1D site frequency spectrum from the SAF likelihood file pop1.sfs_index.idx using the EM algorithm with 16 threads
angsd,realSFS,angsd_03,angsd_03_sy,sysadmin,Use realSFS to estimate the 1D site frequency spectrum from the SAF likelihood file pop1.sfs_index.idx using the EM algorithm with 16 threads
angsd,angsd,angsd_04,angsd_04_or,original,estimate Watterson theta and Tajima D from BAM files listed in in_pop1.txt using the prior site frequency spectrum pop1.sfs and ancestral reference ancestor.fa writing output with the pop1_thetas prefix
angsd,angsd,angsd_04,angsd_04_be,beginner,How do I estimate Watterson theta and Tajima D from BAM files listed in in_pop1.txt using the prior site frequency spectrum pop1.sfs and ancestral reference ancestor.fa writing output with the pop1_thetas prefix?
angsd,angsd,angsd_04,angsd_04_st,student,I need to estimate Watterson theta and Tajima D from BAM files listed in in_pop1.txt using the prior site frequency spectrum pop1.sfs and ancestral reference ancestor.fa writing output with the pop1_thetas prefix
angsd,angsd,angsd_04,angsd_04_po,polite,Please estimate Watterson theta and Tajima D from BAM files listed in in_pop1.txt using the prior site frequency spectrum pop1.sfs and ancestral reference ancestor.fa writing output with the pop1_thetas prefix
angsd,angsd,angsd_04,angsd_04_sy,sysadmin,Use angsd to estimate Watterson theta and Tajima D from BAM files listed in in_pop1.txt using the prior site frequency spectrum pop1.sfs and ancestral reference ancestor.fa writing output with the pop1_thetas prefix
angsd,realSFS,angsd_05,angsd_05_or,original,compute the joint 2D site frequency spectrum for two populations from their per-population SAF likelihood files pop1.sfs_index.idx and pop2.sfs_index.idx
angsd,realSFS,angsd_05,angsd_05_be,beginner,How do I compute the joint 2D site frequency spectrum for two populations from their per-population SAF likelihood files pop1.sfs_index.idx and pop2.sfs_index.idx?
angsd,realSFS,angsd_05,angsd_05_st,student,I need to compute the joint 2D site frequency spectrum for two populations from their per-population SAF likelihood files pop1.sfs_index.idx and pop2.sfs_index.idx
angsd,realSFS,angsd_05,angsd_05_po,polite,Please compute the joint 2D site frequency spectrum for two populations from their per-population SAF likelihood files pop1.sfs_index.idx and pop2.sfs_index.idx
angsd,realSFS,angsd_05,angsd_05_sy,sysadmin,Use realSFS to compute the joint 2D site frequency spectrum for two populations from their per-population SAF likelihood files pop1.sfs_index.idx and pop2.sfs_index.idx
angsd,angsd,angsd_06,angsd_06_or,original,call genotypes as nucleotide codes with posterior probabilities from BAM files listed in specimens.txt using allele frequencies as prior writing output with the genotypes prefix
angsd,angsd,angsd_06,angsd_06_be,beginner,How do I call genotypes as nucleotide codes with posterior probabilities from BAM files listed in specimens.txt using allele frequencies as prior writing output with the genotypes prefix?
angsd,angsd,angsd_06,angsd_06_st,student,I need to call genotypes as nucleotide codes with posterior probabilities from BAM files listed in specimens.txt using allele frequencies as prior writing output with the genotypes prefix
angsd,angsd,angsd_06,angsd_06_po,polite,Please call genotypes as nucleotide codes with posterior probabilities from BAM files listed in specimens.txt using allele frequencies as prior writing output with the genotypes prefix
angsd,angsd,angsd_06,angsd_06_sy,sysadmin,Use angsd to call genotypes as nucleotide codes with posterior probabilities from BAM files listed in specimens.txt using allele frequencies as prior writing output with the genotypes prefix
angsd,angsd,angsd_07,angsd_07_or,original,perform ABBA-BABA D-statistics test for gene flow and introgression from BAM files listed in specimens.txt using ancestor.fa as the ancestral reference removing transition SNPs to reduce CpG bias writing output with the dstat prefix
angsd,angsd,angsd_07,angsd_07_be,beginner,How do I perform ABBA-BABA D-statistics test for gene flow and introgression from BAM files listed in specimens.txt using ancestor.fa as the ancestral reference removing transition SNPs to reduce CpG bias writing output with the dstat prefix?
angsd,angsd,angsd_07,angsd_07_st,student,I need to perform ABBA-BABA D-statistics test for gene flow and introgression from BAM files listed in specimens.txt using ancestor.fa as the ancestral reference removing transition SNPs to reduce CpG bias writing output with the dstat prefix
angsd,angsd,angsd_07,angsd_07_po,polite,Please perform ABBA-BABA D-statistics test for gene flow and introgression from BAM files listed in specimens.txt using ancestor.fa as the ancestral reference removing transition SNPs to reduce CpG bias writing output with the dstat prefix
angsd,angsd,angsd_07,angsd_07_sy,sysadmin,Use angsd to perform ABBA-BABA D-statistics test for gene flow and introgression from BAM files listed in specimens.txt using ancestor.fa as the ancestral reference removing transition SNPs to reduce CpG bias writing output with the dstat prefix
angsd,angsd,angsd_08,angsd_08_or,original,run a genotype-phenotype association study using the Score Test from BAM files listed in specimens.txt with phenotype data in traits.txt writing output with the association prefix
angsd,angsd,angsd_08,angsd_08_be,beginner,How do I run a genotype-phenotype association study using the Score Test from BAM files listed in specimens.txt with phenotype data in traits.txt writing output with the association prefix?
angsd,angsd,angsd_08,angsd_08_st,student,I need to run a genotype-phenotype association study using the Score Test from BAM files listed in specimens.txt with phenotype data in traits.txt writing output with the association prefix
angsd,angsd,angsd_08,angsd_08_po,polite,Please run a genotype-phenotype association study using the Score Test from BAM files listed in specimens.txt with phenotype data in traits.txt writing output with the association prefix
angsd,angsd,angsd_08,angsd_08_sy,sysadmin,Use angsd to run a genotype-phenotype association study using the Score Test from BAM files listed in specimens.txt with phenotype data in traits.txt writing output with the association prefix
angsd,angsd,angsd_09,angsd_09_or,original,generate a consensus FASTA sequence from the single BAM alignment alignment.bam using the most common base at each position writing output with the consensus prefix
angsd,angsd,angsd_09,angsd_09_be,beginner,How do I generate a consensus FASTA sequence from the single BAM alignment alignment.bam using the most common base at each position writing output with the consensus prefix?
angsd,angsd,angsd_09,angsd_09_st,student,I need to generate a consensus FASTA sequence from the single BAM alignment alignment.bam using the most common base at each position writing output with the consensus prefix
angsd,angsd,angsd_09,angsd_09_po,polite,Please generate a consensus FASTA sequence from the single BAM alignment alignment.bam using the most common base at each position writing output with the consensus prefix
angsd,angsd,angsd_09,angsd_09_sy,sysadmin,Use angsd to generate a consensus FASTA sequence from the single BAM alignment alignment.bam using the most common base at each position writing output with the consensus prefix
angsd,angsd,angsd_10,angsd_10_or,original,compute genotype likelihoods in BEAGLE format from BAM files listed in specimens.txt requiring data in at least 40 individuals per site writing output with the admix_input prefix for NGSadmix admixture analysis
angsd,angsd,angsd_10,angsd_10_be,beginner,How do I compute genotype likelihoods in BEAGLE format from BAM files listed in specimens.txt requiring data in at least 40 individuals per site writing output with the admix_input prefix for NGSadmix admixture analysis?
angsd,angsd,angsd_10,angsd_10_st,student,I need to compute genotype likelihoods in BEAGLE format from BAM files listed in specimens.txt requiring data in at least 40 individuals per site writing output with the admix_input prefix for NGSadmix admixture analysis
angsd,angsd,angsd_10,angsd_10_po,polite,Please compute genotype likelihoods in BEAGLE format from BAM files listed in specimens.txt requiring data in at least 40 individuals per site writing output with the admix_input prefix for NGSadmix admixture analysis
angsd,angsd,angsd_10,angsd_10_sy,sysadmin,Use angsd to compute genotype likelihoods in BEAGLE format from BAM files listed in specimens.txt requiring data in at least 40 individuals per site writing output with the admix_input prefix for NGSadmix admixture analysis
